,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Carndonagh,44,IE,1567574910,77,55.25,-7.27,56.46,38.61
1,Ushuaia,40,AR,1567574596,64,-54.81,-68.31,37.4,25.28
2,Albany,90,US,1567574514,68,42.65,-73.75,69.8,9.17
3,Rikitea,100,PF,1567574913,84,-23.12,-134.97,72.66,14.25
4,Kapaa,40,US,1567574603,69,22.08,-159.32,82.4,11.41
5,Victoria,75,BN,1567574652,74,5.28,115.24,89.6,5.82
6,Santa Marta,40,CO,1567574917,79,11.24,-74.21,86.0,26.93
7,Cidreira,86,BR,1567574750,64,-30.17,-50.22,48.72,5.68
8,Busselton,96,AU,1567574602,40,-33.64,115.35,60.01,21.85
9,Jamestown,19,AU,1567574701,45,-33.21,138.6,70.5,4.65
10,Hobyo,53,SO,1567574921,50,5.35,48.53,87.6,25.57
11,Bambanglipuro,8,ID,1567574923,81,-7.95,110.28,74.1,15.79
12,Faanui,10,PF,1567574696,84,-16.48,-151.75,78.06,21.9
13,Lorengau,100,PG,1567574925,81,-2.02,147.27,80.76,13.13
14,Half Moon Bay,90,US,1567574705,87,37.46,-122.43,64.99,5.82
15,Bereda,0,ES,1567574847,87,43.27,-7.54,63.0,4.09
16,Dargaville,75,NZ,1567574929,87,-35.94,173.86,60.42,13.87
17,Beringovskiy,100,RU,1567574767,91,63.05,179.32,41.34,5.37
18,Vaini,75,IN,1567574633,94,15.34,74.49,75.2,9.17
19,Vostok,0,RU,1567574932,48,46.45,135.83,74.46,4.83
20,Aksarka,100,RU,1567574933,87,66.56,67.8,50.88,1.97
21,Isangel,20,VU,1567574884,57,-19.55,169.27,77.0,5.82
22,Cape Town,75,ZA,1567574403,93,-33.93,18.42,59.0,14.99
23,Hermanus,100,ZA,1567574598,98,-34.42,19.24,55.0,1.01
24,Severo-Kurilsk,100,RU,1567574674,96,50.68,156.12,49.62,14.72
25,Port Alfred,97,ZA,1567574706,77,-33.59,26.89,61.0,5.01
26,Egvekinot,100,RU,1567574940,92,66.32,-179.17,35.4,14.74
27,Urla,0,TR,1567574942,60,38.32,26.77,75.2,8.05
28,Carnarvon,68,ZA,1567574654,14,-30.97,22.13,58.62,1.9
29,Bredasdorp,99,ZA,1567574623,93,-34.53,20.04,54.0,4.7
30,Ancud,0,CL,1567574945,86,-41.87,-73.83,33.8,5.82
31,Puerto Ayora,86,EC,1567574449,97,-0.74,-90.35,69.01,1.99
32,Punta Arenas,0,CL,1567574631,80,-53.16,-70.91,33.8,9.17
33,Buarcos,0,PT,1567574949,87,40.16,-8.88,60.01,2.24
34,Santander,75,PH,1567574950,70,9.42,123.33,86.0,6.93
35,Pangkalanbuun,8,ID,1567574951,35,-2.68,111.62,95.34,5.35
36,Auburn,90,US,1567574952,100,44.1,-70.23,63.0,5.82
37,Saldanha,0,PT,1567574815,45,41.42,-6.55,64.74,2.3
38,Pisco,90,PE,1567574857,30,-13.71,-76.2,71.6,9.17
39,Saint-Francois,0,FR,1567574956,100,46.42,3.91,42.8,2.89
40,Etaples,75,FR,1567574957,72,50.52,1.63,62.6,11.41
41,Hobart,40,AU,1567574716,36,-42.88,147.33,60.8,14.99
42,The Valley,20,AI,1567574960,74,18.22,-63.06,84.2,10.29
43,Mairi,92,BR,1567574961,92,-11.71,-40.15,65.1,4.9
44,Cabedelo,0,BR,1567574962,100,-6.97,-34.84,69.8,2.24
45,Vila Franca do Campo,75,PT,1567574602,68,37.72,-25.43,71.01,6.93
46,Lompoc,1,US,1567574463,77,34.64,-120.46,66.99,3.36
47,Yatou,75,CM,1567574966,100,3.63,9.81,77.0,2.24
48,Along,100,IN,1567574967,99,28.17,94.8,60.6,2.35
49,Hithadhoo,7,MV,1567574719,76,-0.6,73.08,83.64,10.42
50,Saskylakh,100,RU,1567574969,89,71.97,114.09,42.24,10.4
51,Iqaluit,90,CA,1567574771,86,63.75,-68.52,41.0,17.22
52,Ilulissat,86,GL,1567574972,57,69.22,-51.1,48.2,12.75
53,Lar,0,IR,1567574973,30,27.66,54.32,93.2,3.76
54,Upernavik,0,GL,1567574591,62,72.79,-56.15,36.84,2.8
55,Piriyapatna,40,IN,1567574976,94,12.34,76.1,73.4,12.75
56,Mataura,100,NZ,1567574590,85,-46.19,168.86,52.0,1.99
57,Mandurah,90,AU,1567574814,54,-32.55,115.7,62.01,17.22
58,Thompson,90,CA,1567574639,93,55.74,-97.86,42.8,4.7
59,Maceio,75,BR,1567574981,100,-9.67,-35.74,69.8,1.12
60,Vila,40,IT,1567574982,82,45.18,8.4,69.01,8.05
61,Wattegama,100,LK,1567574983,58,7.35,80.68,85.44,10.74
62,Peniche,0,PT,1567574965,87,39.36,-9.38,73.4,2.24
63,Collie,47,AU,1567574718,39,-33.36,116.15,60.01,9.4
64,San Cristobal,87,HN,1567574953,94,14.68,-86.92,65.82,3.94
65,Atuona,0,PF,1567574687,77,-9.8,-139.03,79.14,14.65
66,Hervey Bay,0,AU,1567574950,20,-25.3,152.85,89.6,10.29
67,Margate,40,AU,1567574978,36,-43.03,147.26,60.8,14.99
68,Taltal,16,CL,1567574679,85,-25.41,-70.49,45.66,2.84
69,Vestmannaeyjar,17,IS,1567574992,70,63.44,-20.27,49.26,17.16
70,Bud,20,NO,1567574994,93,62.91,6.91,48.2,8.05
71,Liwale,29,TZ,1567574995,45,-9.8,37.92,72.48,8.08
72,Meulaboh,100,ID,1567574936,76,4.14,96.13,82.56,8.21
73,Tuktoyaktuk,20,CA,1567574718,81,69.44,-133.03,44.6,6.93
74,Eirunepe,34,BR,1567574998,95,-6.66,-69.87,71.58,1.43
75,Caravelas,13,BR,1567574999,94,-17.73,-39.27,70.86,7.52
76,Georgetown,20,GY,1567574479,100,6.8,-58.16,75.2,2.24
77,Barrow,2,AR,1567574620,79,-38.31,-60.23,33.96,8.52
78,Tautira,40,PF,1567575003,83,-17.73,-149.15,77.0,5.82
79,Cherskiy,81,RU,1567575004,39,68.75,161.3,52.32,3.74
80,Saint George,0,GR,1567574604,67,39.45,22.34,73.99,2.93
81,Huarmey,1,PE,1567575007,93,-10.07,-78.15,59.7,8.59
82,Saint-Leu,0,RE,1567575008,69,-21.15,55.28,78.8,8.05
83,Loandjili,90,CG,1567575009,94,-4.77,11.87,71.6,6.93
84,Arraial do Cabo,98,BR,1567574663,94,-22.97,-42.02,69.96,4.36
85,Vikhorevka,20,RU,1567575012,60,56.12,101.17,68.0,4.47
86,Port Elizabeth,40,US,1567574780,93,39.31,-74.98,73.0,4.45
87,Mezen,100,RU,1567574939,90,65.85,44.24,59.88,8.52
88,Mar del Plata,6,AR,1567574640,72,-46.43,-67.52,29.82,3.0
89,Chokurdakh,33,RU,1567574732,47,70.62,147.9,56.1,5.66
90,Bathsheba,40,BB,1567575017,74,13.22,-59.52,82.4,16.11
91,Nayoro,0,JP,1567575018,60,44.36,142.46,67.44,8.48
92,Sao Filipe,32,CV,1567574681,84,14.9,-24.5,80.4,7.43
93,Bluff,43,AU,1567574642,12,-23.58,149.07,86.88,2.33
94,Nikolskoye,90,RU,1567574597,93,59.7,30.79,55.99,4.47
95,Katsuura,75,JP,1567574859,94,33.93,134.5,84.2,9.17
96,Rio Grande,0,BR,1567575024,72,-32.03,-52.1,43.0,4.0
97,Eyl,0,SO,1567575025,43,7.98,49.82,86.52,35.79
98,Cockburn Town,0,TC,1567575027,83,21.46,-71.14,83.82,21.03
99,Hasaki,75,JP,1567574760,83,35.73,140.83,75.2,9.17
100,Saint-Philippe,75,CA,1567574613,82,45.36,-73.48,64.4,4.7
101,Aswan,0,EG,1567575030,30,24.09,32.9,82.4,4.7
102,Konskie,38,PL,1567575031,79,51.19,20.41,57.0,6.22
103,Port Blair,100,IN,1567574908,81,11.67,92.75,82.38,24.94
104,Tasiilaq,100,GL,1567574776,75,65.61,-37.64,41.0,6.93
105,Bulungu,100,CD,1567575036,82,-4.54,18.6,75.36,3.74
106,Wanning,20,AT,1567575037,100,48.64,13.53,53.01,2.24
107,Hearst,95,CA,1567575038,71,49.69,-83.67,45.3,7.25
108,Newport,1,US,1567574908,93,41.49,-71.31,66.2,4.85
109,Cairns,74,AU,1567575041,17,-16.92,145.77,82.4,11.41
110,Provideniya,90,RU,1567575042,81,64.42,-173.23,53.6,6.71
111,Talcahuano,91,CL,1567574713,86,-36.72,-73.12,41.0,5.82
112,Port Hawkesbury,90,CA,1567575044,93,45.62,-61.36,63.0,3.36
113,Aliganj,78,IN,1567575046,44,27.49,79.17,96.78,7.31
114,Castro,0,CL,1567574756,80,-42.48,-73.76,35.6,5.82
115,Xining,44,CN,1567575048,51,36.62,101.77,73.99,6.51
116,Butaritari,74,KI,1567574627,68,3.07,172.79,84.18,2.48
117,Mount Gambier,75,AU,1567574756,72,-37.83,140.78,59.0,13.87
118,Dingle,100,PH,1567574826,72,11.0,122.67,85.62,12.46
119,Dubovka,0,RU,1567575053,52,49.06,44.83,64.4,8.95
120,Abaza,99,RU,1567575054,74,52.65,90.1,55.2,9.69
121,Doha,0,QA,1567575055,50,25.29,51.53,98.6,3.36
122,Pevek,15,RU,1567574741,81,69.7,170.27,38.64,11.61
123,Northam,75,AU,1567575057,55,-31.65,116.67,60.8,13.87
124,Avarua,52,CK,1567574413,64,-21.21,-159.78,71.6,13.87
125,Lodja,87,CD,1567575060,91,-3.52,23.6,72.66,2.57
126,Cajati,100,BR,1567575061,99,-24.73,-48.11,57.9,2.28
127,Vysokogornyy,92,RU,1567575062,75,50.1,139.13,63.84,9.93
128,Wencheng,97,CN,1567575064,66,27.79,120.09,82.2,4.34
129,Oranjemund,74,ZA,1567575065,91,-28.55,16.43,55.74,16.37
130,Tuatapere,100,NZ,1567574894,85,-46.13,167.69,52.0,1.99
131,Pangnirtung,100,CA,1567574935,67,66.15,-65.72,36.3,5.5
132,Esenyurt,0,TR,1567575068,63,41.1,35.56,63.0,5.1
133,Lima,90,PE,1567574825,87,-12.06,-77.04,60.8,10.29
134,Tchamba,100,TG,1567575071,96,9.03,1.42,70.86,2.06
135,Imbituba,40,BR,1567575018,82,-28.24,-48.67,59.0,4.7
136,Buchanan,75,LR,1567575073,100,5.88,-10.05,75.2,14.79
137,Molo,77,KE,1567575074,73,-0.25,35.73,62.76,1.9
138,Hilo,90,US,1567574621,65,19.71,-155.08,82.4,4.7
139,Lamar,75,US,1567575064,64,38.09,-102.62,71.6,10.29
140,Lebu,40,ET,1567574802,100,8.96,38.73,60.8,4.7
141,Chuy,0,UY,1567574708,65,-33.69,-53.46,41.34,11.65
142,Kautokeino,57,NO,1567575080,74,69.01,23.04,45.12,16.26
143,Leshukonskoye,94,RU,1567574658,76,64.9,45.76,58.98,7.27
144,Moron,5,HT,1567575083,80,18.56,-74.26,80.04,4.81
145,Hami,0,CN,1567575084,17,42.84,93.51,90.12,5.95
146,Jatiroto,7,ID,1567575085,54,-7.61,109.46,84.36,11.81
147,Malartic,90,CA,1567575086,100,48.14,-78.13,54.0,13.87
148,Aykhal,75,RU,1567574792,57,65.95,111.51,51.8,2.24
149,Yining,0,CN,1567575089,43,29.04,114.56,88.5,3.91
150,Skjervoy,0,NO,1567575090,71,70.03,20.97,53.6,11.41
151,Cheremukhovo,0,RU,1567575091,65,56.23,46.23,60.78,2.1
152,Barra do Garcas,0,BR,1567575092,32,-15.89,-52.26,72.84,3.11
153,Khatanga,29,RU,1567574895,46,71.98,102.47,41.88,14.61
154,Verkhoyansk,47,RU,1567574807,52,67.55,133.39,49.08,6.82
155,Rosario do Sul,0,BR,1567575096,79,-30.26,-54.91,37.74,7.05
156,Ramgarh,39,IN,1567575097,52,27.26,75.18,92.64,7.36
157,Dunda,90,IN,1567575098,83,30.62,78.32,82.4,5.82
158,Husavik,8,CA,1567574841,92,50.56,-96.99,46.0,8.25
159,Chichigalpa,93,NI,1567575101,70,12.57,-87.03,84.72,4.27
160,Kodiak,75,US,1567574689,64,39.95,-94.76,75.2,10.29
161,Nahrin,0,AF,1567575103,16,36.06,69.13,78.6,7.25
162,Gazojak,0,TM,1567575104,24,41.19,61.4,80.94,14.9
163,Waipawa,100,NZ,1567575106,94,-39.94,176.59,55.0,5.01
164,Qaanaaq,1,GL,1567574766,59,77.48,-69.36,28.38,5.12
165,Richards Bay,0,ZA,1567575108,71,-28.77,32.06,71.22,22.77
166,Khandyga,94,RU,1567575110,70,62.65,135.58,55.56,9.66
167,Mahebourg,40,MU,1567574730,69,-20.41,57.7,75.99,11.41
168,Norman Wells,75,CA,1567574703,93,65.28,-126.83,48.2,4.7
169,Kupang,40,ID,1567575113,51,-10.16,123.6,84.2,13.87
170,Nyurba,97,RU,1567575114,83,63.29,118.35,51.24,3.31
171,Ust-Kuyga,100,RU,1567575115,59,70.0,135.55,53.04,11.16
172,Trinidad,94,BO,1567574961,37,-14.83,-64.9,73.38,4.56
173,Ust-Kut,64,RU,1567575118,46,56.78,105.75,67.98,6.08
174,Ahipara,69,NZ,1567575119,100,-35.17,173.16,59.0,9.28
175,Sitka,0,US,1567574655,60,37.17,-99.65,75.99,11.99
176,Komsomolskiy,62,RU,1567574692,56,67.55,63.78,56.64,8.05
177,Bull Savanna,21,JM,1567575123,79,17.89,-77.59,81.3,6.15
178,Touros,40,BR,1567574818,94,-5.2,-35.46,71.6,3.36
179,Ostroleka,24,PL,1567575125,47,53.09,21.58,61.0,6.2
180,Qinhuangdao,99,CN,1567575126,47,39.94,119.59,80.94,8.72
181,Luderitz,51,NA,1567574613,81,-26.65,15.16,53.6,4.7
182,Pacasmayo,13,PE,1567575129,94,-7.4,-79.57,60.42,10.2
183,Xuanzhou,100,CN,1567575130,82,30.95,118.78,78.06,6.38
184,Ambon,0,FR,1567575131,100,47.55,-2.56,57.0,5.82
185,Torbay,90,CA,1567574726,100,47.66,-52.73,64.0,14.99
186,Klaksvik,100,FO,1567575133,70,62.23,-6.59,46.4,24.16
187,Kaitangata,100,NZ,1567574782,60,-46.28,169.85,53.01,3.0
188,Makakilo City,1,US,1567575136,61,21.35,-158.09,82.4,6.93
189,Hambantota,75,LK,1567574824,94,6.12,81.12,84.2,13.87
190,Moussoro,27,TD,1567575138,57,13.64,16.49,83.1,10.45
191,Tiksi,90,RU,1567574715,74,71.64,128.87,46.2,7.65
192,Burns Lake,93,CA,1567575140,85,54.23,-125.76,54.3,4.03
193,Turmalina,0,BR,1567575142,86,-17.29,-42.73,56.82,2.21
194,Samarai,21,PG,1567575143,67,-10.62,150.67,74.1,10.13
195,Neyvo-Shaytanskiy,98,RU,1567575144,86,57.73,61.25,52.32,3.6
196,Mantua,95,IT,1567575146,82,45.16,10.79,68.0,3.36
197,Sao Jose da Coroa Grande,43,BR,1567575147,95,-8.9,-35.15,69.78,2.35
198,Rome,40,IT,1567574991,68,41.89,12.48,70.0,9.17
199,Yulara,0,AU,1567575149,4,-25.24,130.99,91.4,13.87
200,Malanje,44,AO,1567575150,82,-9.54,16.35,64.74,8.12
201,Dikson,95,RU,1567574657,87,73.51,80.55,41.52,8.68
202,New Norfolk,40,AU,1567574707,36,-42.78,147.06,60.8,14.99
203,Inirida,70,CO,1567575154,96,3.87,-67.92,72.66,0.85
204,Bambous Virieux,40,MU,1567575155,69,-20.34,57.76,75.99,11.41
205,Bethel,75,US,1567574610,76,60.79,-161.76,53.6,20.8
206,East London,0,ZA,1567574738,71,-33.02,27.91,57.2,11.41
207,Ambilobe,57,MG,1567575159,40,-13.19,49.05,83.64,6.93
208,Lahad Datu,100,MY,1567575160,78,5.02,118.33,84.18,4.34
209,Kangaatsiaq,100,GL,1567575161,88,68.31,-53.46,44.76,7.45
210,Geraldton,75,CA,1567574635,75,49.72,-86.95,46.4,6.93
211,Mbumi,41,TZ,1567575163,69,-7.91,39.21,78.96,1.41
212,Princeton,1,US,1567575165,94,38.36,-87.57,75.99,5.82
213,Codrington,21,AU,1567575166,21,-28.95,153.24,84.2,11.41
214,Kruisfontein,1,ZA,1567575167,73,-34.0,24.73,55.2,11.32
215,Broken Hill,0,AU,1567575168,7,-31.97,141.45,86.0,20.8
216,Nokaneng,0,BW,1567575170,31,-19.66,22.19,65.28,4.34
217,Port Lincoln,59,AU,1567574963,81,-34.72,135.86,58.44,10.58
218,Esperance,75,AU,1567574996,50,-33.86,121.89,57.2,26.4
219,Shingu,75,JP,1567575173,70,33.72,135.99,86.0,14.99
220,Quincy,1,US,1567575090,40,47.23,-119.85,73.4,14.99
221,Aklavik,75,CA,1567575176,71,68.22,-135.01,53.6,3.36
222,Ambulu,3,ID,1567575177,83,-8.35,113.61,73.56,17.56
223,Tankhoy,97,RU,1567575178,71,51.55,105.12,61.86,2.13
224,Jiayuguan,69,CN,1567575180,18,39.77,98.29,82.74,7.76
225,Turukhansk,22,RU,1567575181,58,65.8,87.96,55.92,6.33
226,Fortuna,20,ES,1567574764,94,38.18,-1.13,73.4,3.36
227,Puri,13,ID,1567575183,22,-7.54,112.45,96.96,10.36
228,Campo Maior,43,BR,1567575185,84,-4.83,-42.16,71.94,3.02
229,Narsaq,100,GL,1567574770,87,60.91,-46.05,44.6,3.36
230,Pacific Grove,1,US,1567574691,77,36.62,-121.92,68.0,8.05
231,Thaton,99,MM,1567575188,89,16.91,97.37,78.24,8.66
232,Nizhniy Kuranakh,59,RU,1567575189,45,58.84,125.49,63.66,8.05
